name,type,state,statecode,c19oName,apiName
Budgam,d,jammu_and_kashmir,JK,Budgam,badgam
Bulandshahr,d,uttar_pradesh,UP,Bulandshahr,bulandshahr
Buldhana,d,maharashtra,MH,Buldhana,buldana
Bundi,d,rajasthan,RJ,Bundi,bundi
Burhanpur,d,madhya_pradesh,MP,Burhanpur,burhanpur
Buxar,d,bihar,BR,Buxar,buxar
Cachar,d,assam,AS,Cachar,cachar
Central Delhi,d,nct_of_delhi,DL,Central Delhi,west
Chamarajanagara,d,karnataka,KA,Chamarajanagara,chamrajnagar
Chamba,d,himachal_pradesh,HP,Chamba,chamba
Chamoli,d,uttarakhand,UT,Chamoli,chamoli
Champawat,d,uttarakhand,UT,Champawat,champawat
Champhai,d,mizoram,MZ,Champhai,champhai
Chandauli,d,uttar_pradesh,UP,Chandauli,chandauli
Chandel,d,manipur,MN,Chandel,chandel
Chandigarh,d,chandigarh,CH,Chandigarh,chandigarh
Chandigarh,u,chandigarh,CH,Chandigarh,chandigarh
Chandrapur,d,maharashtra,MH,Chandrapur,chandrapur
Changlang,d,arunachal_pradesh,AR,Changlang,changlang
Charaideo,d,assam,AS,Charaideo,sivasagar
Charkhi Dadri,d,haryana,HR,Charkhi Dadri,bhiwani
Chatra,d,jharkhand,JH,Chatra,chatra
Chengalpattu,d,tamil_nadu,TN,Chengalpattu,kancheepuram
Chennai,d,tamil_nadu,TN,Chennai,chennai
Chhatarpur,d,madhya_pradesh,MP,Chhatarpur,chhatarpur
Chhattisgarh,s,chhattisgarh,CT,Chhattisgarh,chhattisgarh
Chhindwara,d,madhya_pradesh,MP,Chhindwara,chhindwara
Chhota Udaipur,d,gujarat,GJ,Chhota Udaipur,chhota_udaipur
Chikkaballapura,d,karnataka,KA,Chikkaballapura,chikballapura
Chikkamagaluru,d,karnataka,KA,Chikkamagaluru,chikmagalur
Chirang,d,assam,AS,Chirang,chirang
Chitradurga,d,karnataka,KA,Chitradurga,chitradurga
Chitrakoot,d,uttar_pradesh,UP,Chitrakoot,chitrakoot
Chittoor,d,andhra_pradesh,AD,Chittoor,chittoor
Chittorgarh,d,rajasthan,RJ,Chittorgarh,chittaurgarh
Churachandpur,d,manipur,MN,Churachandpur,churachandpur
Churu,d,rajasthan,RJ,Churu,churu
Coimbatore,d,tamil_nadu,TN,Coimbatore,coimbatore
Cooch Behar,d,west_bengal,WB,Cooch Behar,koch_bihar
Cuddalore,d,tamil_nadu,TN,Cuddalore,cuddalore
Cuttack,d,odisha,OR,Cuttack,cuttack
Dadra and Nagar Haveli,d,dadra_and_nagar_haveli,DN,Dadra and Nagar Haveli,dadra_and_nagar_haveli
Dahod,d,gujarat,GJ,Dahod,dahod
Dakshin Bastar Dantewada,d,chhattisgarh,CT,Dakshin Bastar Dantewada,dantewada
Dakshin Dinajpur,d,west_bengal,WB,Dakshin Dinajpur,dakshin_dinajpur
Dakshina Kannada,d,karnataka,KA,Dakshina Kannada,dakshina_kannada
Daman,d,daman_and_diu,DD,Daman,daman
Damoh,d,madhya_pradesh,MP,Damoh,damoh
Dang,d,gujarat,GJ,Dang,the_dangs
Darbhanga,d,bihar,BR,Darbhanga,darbhanga
Darjeeling,d,west_bengal,WB,Darjeeling,darjiling
Darrang,d,assam,AS,Darrang,darrang
Datia,d,madhya_pradesh,MP,Datia,datia
Dausa,d,rajasthan,RJ,Dausa,dausa
Davanagere,d,karnataka,KA,Davanagere,davanagere
Dehradun,d,odisha,OR,Dehradun,debagarh
Delhi,u,nct_of_delhi,DL,Delhi,nct_of_delhi
Deogarh,d,uttarakhand,UT,Deogarh,dehradun
Deoghar,d,jharkhand,JH,Deoghar,deoghar
Deoria,d,uttar_pradesh,UP,Deoria,deoria
Devbhumi Dwarka,d,gujarat,GJ,Devbhumi Dwarka,devbhumi_dwarka
Dewas,d,madhya_pradesh,MP,Dewas,dewas
Dhalai,d,tripura,TR,Dhalai,dhalai
Dhamtari,d,chhattisgarh,CT,Dhamtari,dhamtari
Dhanbad,d,jharkhand,JH,Dhanbad,dhanbad
Dhar,d,madhya_pradesh,MP,Dhar,dhar
Dharmapuri,d,tamil_nadu,TN,Dharmapuri,dharmapuri
Dharwad,d,karnataka,KA,Dharwad,dharwad
Dhemaji,d,rajasthan,RJ,Dhemaji,dhaulpur
Dhenkanal,d,assam,AS,Dhenkanal,dhemaji
Dholpur,d,odisha,OR,Dholpur,dhenkanal
Dhubri,d,assam,AS,Dhubri,dhubri
Dhule,d,maharashtra,MH,Dhule,dhule
Dibrugarh,d,assam,AS,Dibrugarh,dibrugarh
Dima Hasao,d,assam,AS,Dima Hasao,dima_hasao
Dimapur,d,nagaland,NL,Dimapur,dimapur
Dindigul,d,tamil_nadu,TN,Dindigul,dindigul
Dindori,d,madhya_pradesh,MP,Dindori,dindori
Diu,d,daman_and_diu,DD,Diu,diu
Doda,d,jammu_and_kashmir,JK,Doda,doda
Dumka,d,jharkhand,JH,Dumka,dumka
Dungarpur,d,rajasthan,RJ,Dungarpur,dungarpur
Durg,d,chhattisgarh,CT,Durg,durg
East Champaran,d,bihar,BR,East Champaran,purba_champaran
East Delhi,d,nct_of_delhi,DL,East Delhi,west
East Garo Hills,d,meghalaya,ML,East Garo Hills,east_garo_hills
East Godavari,d,andhra_pradesh,AD,East Godavari,east_godavari
East Jaintia Hills,d,meghalaya,ML,East Jaintia Hills,jaintia_hills
East Kameng,d,arunachal_pradesh,AR,East Kameng,east_kameng
East Khasi Hills,d,meghalaya,ML,East Khasi Hills,east_khasi_hills
East Siang,d,arunachal_pradesh,AR,East Siang,east_siang
East Sikkim,d,sikkim,SK,East Sikkim,east_sikkim
East Singhbhum,d,jharkhand,JH,East Singhbhum,purbi_singhbhum
Ernakulam,d,kerala,KL,Ernakulam,ernakulam
Erode,d,tamil_nadu,TN,Erode,erode
Etah,d,uttar_pradesh,UP,Etah,etah
Etawah,d,uttar_pradesh,UP,Etawah,etawah
Faridabad,d,haryana,HR,Faridabad,faridabad
Faridkot,d,punjab,PB,Faridkot,faridkot
Farrukhabad,d,uttar_pradesh,UP,Farrukhabad,farrukhabad
Fatehabad,d,haryana,HR,Fatehabad,fatehabad
Fatehgarh Sahib,d,punjab,PB,Fatehgarh Sahib,fatehgarh_sahib
Fatehpur,d,uttar_pradesh,UP,Fatehpur,fatehpur
Fazilka,d,punjab,PB,Fazilka,fazilka
Ferozepur,d,uttar_pradesh,UP,Ferozepur,firozabad
Firozabad,d,punjab,PB,Firozabad,firozpur
Gadag,d,karnataka,KA,Gadag,gadag
Gadchiroli,d,maharashtra,MH,Gadchiroli,garhchiroli
Gajapati,d,odisha,OR,Gajapati,gajapati
Ganderbal,d,jammu_and_kashmir,JK,Ganderbal,ganderbal
Gandhinagar,d,gujarat,GJ,Gandhinagar,gandhinagar
Ganganagar,d,rajasthan,RJ,Ganganagar,ganganagar
Ganjam,d,odisha,OR,Ganjam,ganjam
Garhwa,d,jharkhand,JH,Garhwa,garhwa
Gariaband,d,chhattisgarh,CT,Gariaband,gariaband
Gautam Buddha Nagar,d,uttar_pradesh,UP,Gautam Buddha Nagar,gautam_buddha_nagar
Gaya,d,bihar,BR,Gaya,gaya
Ghaziabad,d,uttar_pradesh,UP,Ghaziabad,ghaziabad
Ghazipur,d,uttar_pradesh,UP,Ghazipur,ghazipur
Gir Somnath,d,gujarat,GJ,Gir Somnath,gir_somnath
Giridih,d,jharkhand,JH,Giridih,giridih
Goa,s,goa,GA,Goa,goa
Goalpara,d,assam,AS,Goalpara,goalpara
Godda,d,jharkhand,JH,Godda,godda
Golaghat,d,assam,AS,Golaghat,golaghat
Gomati,d,tripura,TR,Gomati,gomati
Gonda,d,uttar_pradesh,UP,Gonda,gonda
Gondia,d,maharashtra,MH,Gondia,gondiya
Gopalganj,d,bihar,BR,Gopalganj,gopalganj
Gorakhpur,d,uttar_pradesh,UP,Gorakhpur,gorakhpur
Gujarat,s,gujarat,GJ,Gujarat,gujarat
Gumla,d,jharkhand,JH,Gumla,gumla
Guna,d,madhya_pradesh,MP,Guna,guna
Guntur,d,andhra_pradesh,AD,Guntur,guntur
Gurdaspur,d,punjab,PB,Gurdaspur,gurdaspur
Gurugram,d,haryana,HR,Gurugram,gurgaon
Gwalior,d,madhya_pradesh,MP,Gwalior,gwalior
Hailakandi,d,assam,AS,Hailakandi,hailakandi
Hamirpur,d,himachal_pradesh,HP,Hamirpur,hamirpur
Hamirpur,d,uttar_pradesh,UP,Hamirpur,hamirpurup
Hanumangarh,d,rajasthan,RJ,Hanumangarh,hanumangarh
Hapur,d,uttar_pradesh,UP,Hapur,hapur
Harda,d,madhya_pradesh,MP,Harda,harda
Hardoi,d,uttar_pradesh,UP,Hardoi,hardoi
Haridwar,d,uttarakhand,UT,Haridwar,hardwar
Haryana,s,haryana,HR,Haryana,haryana
Hassan,d,karnataka,KA,Hassan,hassan
Hathras,d,uttar_pradesh,UP,Hathras,hathras
Haveri,d,karnataka,KA,Haveri,haveri
Hazaribagh,d,jharkhand,JH,Hazaribagh,hazaribagh
Himachal Pradesh,s,himachal_pradesh,HP,Himachal Pradesh,himachal_pradesh
Hingoli,d,maharashtra,MH,Hingoli,hingoli
Hisar,d,haryana,HR,Hisar,hisar
Hnahthial,d,mizoram,MZ,Hnahthial,lunglei
Hojai,d,assam,AS,Hojai,nagaon
Hooghly,d,west_bengal,WB,Hooghly,hugli
Hoshangabad,d,madhya_pradesh,MP,Hoshangabad,hoshangabad
Hoshiarpur,d,punjab,PB,Hoshiarpur,hoshiarpur
Howrah,d,west_bengal,WB,Howrah,haora
Hyderabad,d,telangana,TG,Hyderabad,hyderabad
Idukki,d,kerala,KL,Idukki,idukki
Imphal East,d,manipur,MN,Imphal East,imphal_east
Imphal West,d,manipur,MN,Imphal West,imphal_west
Indore,d,madhya_pradesh,MP,Indore,indore
Jabalpur,d,madhya_pradesh,MP,Jabalpur,jabalpur
Jagatsinghpur,d,odisha,OR,Jagatsinghpur,jagatsinghapur
Jagtial,d,telangana,TG,Jagtial,jagtial
Jaipur,d,rajasthan,RJ,Jaipur,jaipur
Jaisalmer,d,rajasthan,RJ,Jaisalmer,jaisalmer
Jajpur,d,odisha,OR,Jajpur,jajapur
Jalandhar,d,punjab,PB,Jalandhar,jalandhar
Jalaun,d,uttar_pradesh,UP,Jalaun,jalaun
Jalgaon,d,maharashtra,MH,Jalgaon,jalgaon
Jalna,d,maharashtra,MH,Jalna,jalna
Jalore,d,rajasthan,RJ,Jalore,jalor
Jalpaiguri,d,west_bengal,WB,Jalpaiguri,jalpaiguri
Jammu,d,jammu_and_kashmir,JK,Jammu,jammu
Jammu and Kashmir,u,jammu_and_kashmir,JK,Jammu and Kashmir,jammu_and_kashmir
Jamnagar,d,gujarat,GJ,Jamnagar,jamnagar
Jamtara,d,jharkhand,JH,Jamtara,jamtara
Jamui,d,bihar,BR,Jamui,jamui
Jangaon,d,telangana,TG,Jangaon,jangoan
Janjgir Champa,d,chhattisgarh,CT,Janjgir Champa,janjgir-champa
Jashpur,d,chhattisgarh,CT,Jashpur,jashpur
Jaunpur,d,uttar_pradesh,UP,Jaunpur,jaunpur
Jayashankar Bhupalapally,d,telangana,TG,Jayashankar Bhupalapally,jayashankar_bhupalpally
Jehanabad,d,bihar,BR,Jehanabad,jehanabad
Jhabua,d,madhya_pradesh,MP,Jhabua,jhabua
Jhajjar,d,haryana,HR,Jhajjar,jhajjar
Jhalawar,d,rajasthan,RJ,Jhalawar,jhalawar
Jhansi,d,uttar_pradesh,UP,Jhansi,jhansi
Jhargram,d,west_bengal,WB,Jhargram,pashchim_medinipur
Jharkhand,s,jharkhand,JH,Jharkhand,jharkhand
Jharsuguda,d,odisha,OR,Jharsuguda,jharsuguda
Jhunjhunu,d,rajasthan,RJ,Jhunjhunu,jhunjhunun
Jind,d,haryana,HR,Jind,jind
Jiribam,d,manipur,MN,Jiribam,imphal_east
Jodhpur,d,rajasthan,RJ,Jodhpur,jodhpur
Jogulamba Gadwal,d,telangana,TG,Jogulamba Gadwal,jogulamba_gadwal
Jorhat,d,assam,AS,Jorhat,jorhat
Junagadh,d,gujarat,GJ,Junagadh,junagadh
Kabeerdham,d,chhattisgarh,CT,Kabeerdham,kabeerdham
Kaimur,d,bihar,BR,Kaimur,kaimur
Kaithal,d,haryana,HR,Kaithal,kaithal
Kakching,d,manipur,MN,Kakching,thoubal
Kalaburagi,d,karnataka,KA,Kalaburagi,gulbarga
Kalahandi,d,odisha,OR,Kalahandi,kalahandi
Kalimpong,d,west_bengal,WB,Kalimpong,darjiling
Kallakurichi,d,tamil_nadu,TN,Kallakurichi,viluppuram
Kamareddy,d,telangana,TG,Kamareddy,kamareddy
Kamjong,d,manipur,MN,Kamjong,ukhrul
Kamle,d,arunachal_pradesh,AR,Kamle,lower_subansiri
Kamrup,d,assam,AS,Kamrup,kamrup
Kamrup Metropolitan,d,assam,AS,Kamrup Metropolitan,kamrup_metropolitan
Kancheepuram,d,tamil_nadu,TN,Kancheepuram,kancheepuram
Kandhamal,d,odisha,OR,Kandhamal,kandhamal
Kangpokpi,d,manipur,MN,Kangpokpi,senapati
Kangra,d,himachal_pradesh,HP,Kangra,kangra
Kannauj,d,uttar_pradesh,UP,Kannauj,kannauj
Kannur,d,kerala,KL,Kannur,kannur
Kanpur Dehat,d,uttar_pradesh,UP,Kanpur Dehat,kanpur_dehat
Kanpur Nagar,d,uttar_pradesh,UP,Kanpur Nagar,kanpur_nagar
Kanyakumari,d,tamil_nadu,TN,Kanyakumari,kanniyakumari
Kapurthala,d,punjab,PB,Kapurthala,kapurthala
Karaikal,d,puducherry,PY,Karaikal,karaikal
Karauli,d,rajasthan,RJ,Karauli,karauli
Karbi Anglong,d,assam,AS,Karbi Anglong,karbi_anglong
Kargil,d,ladakh,LA,Kargil,kargil
Karimganj,d,assam,AS,Karimganj,karimganj
Karimnagar,d,telangana,TG,Karimnagar,karimnagar
Karnal,d,haryana,HR,Karnal,karnal
Karnataka,s,karnataka,KA,Karnataka,karnataka
Karur,d,tamil_nadu,TN,Karur,karur
Kasaragod,d,kerala,KL,Kasaragod,kasaragod
Kasganj,d,uttar_pradesh,UP,Kasganj,kasganj
Kathua,d,jammu_and_kashmir,JK,Kathua,kathua
Katihar,d,bihar,BR,Katihar,katihar
Katni,d,madhya_pradesh,MP,Katni,katni
Kaushambi,d,uttar_pradesh,UP,Kaushambi,kaushambi
Kendrapara,d,odisha,OR,Kendrapara,kendrapara
Kendujhar,d,odisha,OR,Kendujhar,kendujhar
Kerala,s,kerala,KL,Kerala,kerala
Khagaria,d,bihar,BR,Khagaria,khagaria
Khammam,d,telangana,TG,Khammam,khammam
Khandwa,d,madhya_pradesh,MP,Khandwa,east_nimar
Khargone,d,madhya_pradesh,MP,Khargone,west_nimar
Khawzawl,d,mizoram,MZ,Khawzawl,champhai
Kheda,d,gujarat,GJ,Kheda,kheda
Khordha,d,odisha,OR,Khordha,khordha
Khowai,d,tripura,TR,Khowai,khowai
Khunti,d,jharkhand,JH,Khunti,khunti
Kinnaur,d,himachal_pradesh,HP,Kinnaur,kinnaur
Kiphire,d,nagaland,NL,Kiphire,kiphire
Kishanganj,d,bihar,BR,Kishanganj,kishanganj
Kishtwar,d,jammu_and_kashmir,JK,Kishtwar,kishtwar
Kodagu,d,karnataka,KA,Kodagu,kodagu
Koderma,d,jharkhand,JH,Koderma,kodarma
Kohima,d,nagaland,NL,Kohima,kohima
Kokrajhar,d,assam,AS,Kokrajhar,kokrajhar
Kolar,d,karnataka,KA,Kolar,kolar
Kolasib,d,mizoram,MZ,Kolasib,kolasib
Kolhapur,d,maharashtra,MH,Kolhapur,kolhapur
Kolkata,d,west_bengal,WB,Kolkata,kolkata
Kollam,d,kerala,KL,Kollam,kollam
Komaram Bheem,d,telangana,TG,Komaram Bheem,kumurambheem_asifabad
Kondagaon,d,chhattisgarh,CT,Kondagaon,kondagaon
Koppal,d,karnataka,KA,Koppal,koppal
Koraput,d,odisha,OR,Koraput,koraput
Korba,d,chhattisgarh,CT,Korba,korba
Koriya,d,chhattisgarh,CT,Koriya,koriya
Kota,d,rajasthan,RJ,Kota,kota
Kottayam,d,kerala,KL,Kottayam,kottayam
Kozhikode,d,kerala,KL,Kozhikode,kozhikode
Kra Daadi,d,arunachal_pradesh,AR,Kra Daadi,kurung_kumey
Krishna,d,andhra_pradesh,AD,Krishna,krishna
Krishnagiri,d,tamil_nadu,TN,Krishnagiri,krishnagiri
Kulgam,d,jammu_and_kashmir,JK,Kulgam,kulgam
Kullu,d,himachal_pradesh,HP,Kullu,kullu
Kupwara,d,jammu_and_kashmir,JK,Kupwara,kupwara
Kurnool,d,andhra_pradesh,AD,Kurnool,kurnool
Kurukshetra,d,haryana,HR,Kurukshetra,kurukshetra
Kurung Kumey,d,arunachal_pradesh,AR,Kurung Kumey,kurung_kumey
Kushinagar,d,uttar_pradesh,UP,Kushinagar,kushinagar
Kutch,d,gujarat,GJ,Kutch,kachchh
Ladakh,u,ladakh,LA,Ladakh,ladakh
Lahaul and Spiti,d,himachal_pradesh,HP,Lahaul and Spiti,lahul_and_spiti
Lakhimpur,d,assam,AS,Lakhimpur,lakhimpur
Lakhimpur Kheri,d,uttar_pradesh,UP,Lakhimpur Kheri,lakhimpur_kheri
Lakhisarai,d,bihar,BR,Lakhisarai,lakhisarai
Lakshadweep,d,lakshadweep,LD,Lakshadweep,lakshadweep
Lakshadweep,u,lakshadweep,LD,Lakshadweep,lakshadweep
Lalitpur,d,uttar_pradesh,UP,Lalitpur,lalitpur
Latehar,d,jharkhand,JH,Latehar,latehar
Latur,d,maharashtra,MH,Latur,latur
Lawngtlai,d,mizoram,MZ,Lawngtlai,lawangtlai
Leh,d,ladakh,LA,Leh,leh
Lepa Rada,d,arunachal_pradesh,AR,Lepa Rada,west_siang
Lohardaga,d,jharkhand,JH,Lohardaga,lohardaga
Lohit,d,arunachal_pradesh,AR,Lohit,lohit
Longding,d,arunachal_pradesh,AR,Longding,longding
Longleng,d,nagaland,NL,Longleng,longleng
Lower Dibang Valley,d,arunachal_pradesh,AR,Lower Dibang Valley,lower_dibang_valley
Lower Siang,d,arunachal_pradesh,AR,Lower Siang,west_siang
Lower Subansiri,d,arunachal_pradesh,AR,Lower Subansiri,lower_subansiri
Lucknow,d,uttar_pradesh,UP,Lucknow,lucknow
Ludhiana,d,punjab,PB,Ludhiana,ludhiana
Lunglei,d,mizoram,MZ,Lunglei,lunglei
Madhepura,d,bihar,BR,Madhepura,madhepura
Madhubani,d,bihar,BR,Madhubani,madhubani
Madhya Pradesh,s,madhya_pradesh,MP,Madhya Pradesh,madhya_pradesh
Madurai,d,tamil_nadu,TN,Madurai,madurai
Mahabubabad,d,telangana,TG,Mahabubabad,mahabubabad
Maharajganj,d,uttar_pradesh,UP,Maharajganj,maharajganj
Maharashtra,s,maharashtra,MH,Maharashtra,maharashtra
Mahasamund,d,chhattisgarh,CT,Mahasamund,mahasamund
Mahe,d,puducherry,PY,Mahe,mahe
Mahendragarh,d,haryana,HR,Mahendragarh,mahendragarh
Mahisagar,d,gujarat,GJ,Mahisagar,mahisagar
Mahoba,d,uttar_pradesh,UP,Mahoba,mahoba
Mainpuri,d,uttar_pradesh,UP,Mainpuri,mainpuri
Majuli,d,assam,AS,Majuli,jorhat
Malappuram,d,kerala,KL,Malappuram,malappuram
Malda,d,west_bengal,WB,Malda,maldah
Malkangiri,d,odisha,OR,Malkangiri,malkangiri
Mamit,d,mizoram,MZ,Mamit,mamit
Mancherial,d,telangana,TG,Mancherial,mancherial
Mandi,d,himachal_pradesh,HP,Mandi,mandi
Mandla,d,madhya_pradesh,MP,Mandla,mandla
Mandsaur,d,madhya_pradesh,MP,Mandsaur,mandsaur
Mandya,d,karnataka,KA,Mandya,mandya
Manipur,s,manipur,MN,Manipur,manipur
Mansa,d,punjab,PB,Mansa,mansa
Mathura,d,uttar_pradesh,UP,Mathura,mathura
Mau,d,uttar_pradesh,UP,Mau,mau
Mayurbhanj,d,odisha,OR,Mayurbhanj,mayurbhanj
Medak,d,telangana,TG,Medak,medak
Medchal Malkajgiri,d,telangana,TG,Medchal Malkajgiri,medchal_malkajgiri
Meerut,d,uttar_pradesh,UP,Meerut,meerut
Meghalaya,s,meghalaya,ML,Meghalaya,meghalaya
Mehsana,d,gujarat,GJ,Mehsana,mahesana
Mirpur,d,jammu_and_kashmir,JK,Mirpur,mirpur
Mirzapur,d,uttar_pradesh,UP,Mirzapur,mirzapur
Mizoram,s,mizoram,MZ,Mizoram,mizoram
Moga,d,punjab,PB,Moga,moga
Mokokchung,d,nagaland,NL,Mokokchung,mokokchung
Mon,d,nagaland,NL,Mon,mon
Moradabad,d,uttar_pradesh,UP,Moradabad,moradabad
Morbi,d,gujarat,GJ,Morbi,morbi
Morena,d,madhya_pradesh,MP,Morena,morena
Morigaon,d,assam,AS,Morigaon,morigaon
Mulugu,d,telangana,TG,Mulugu,mulugu
Mumbai,d,maharashtra,MH,Mumbai,mumbai_city
Mumbai Suburban,d,maharashtra,MH,Mumbai Suburban,mumbai_suburban
Mungeli,d,chhattisgarh,CT,Mungeli,mungeli
Munger,d,bihar,BR,Munger,munger
Murshidabad,d,west_bengal,WB,Murshidabad,murshidabad
Muzaffarabad,d,jammu_and_kashmir,JK,Muzaffarabad,muzaffarabad
Muzaffarnagar,d,uttar_pradesh,UP,Muzaffarnagar,muzaffarnagar
